keyword,trends_score,cpc_usd
**Whey Protein**,74.33962264150944,0.7
**Protein Supplements**,20.339622641509433,0.7
**Muscle Growth**,53.45283018867924,0.7
Whey Protein Isolate,74.33962264150944,0.8
Pea Protein,51.43396226415094,0.7
Bodybuilding Protein,65.58490566037736,0.7
Protein for Muscle Gain,25.28301886792453,0.9
**Optimum Nutrition**,68.9245283018868,0.7
Soy Protein,62.9622641509434,0.7
Brown Rice Protein,63.113207547169814,0.8
Vegan Protein Powder,59.43396226415094,0.8
Protein Powder,77.81132075471699,0.7
Protein for Weight Loss,81.28301886792453,0.9
Protein Shakes,26.37735849056604,0.7
Whey Protein Concentrate,60.45283018867924,0.8
